# EC RAM field map, HP OMEN 17-cb0xxx board 8603 BIOS F.53 (from DSDT OperationRegion PECM/ECMM = SystemMemory 0xFC7E0800, the EC RAM window;
# offsets 0x00-0xFF are the same bytes the ACPI EC index space (ports 0x62/0x66, Linux ec_sys) shows)

region byte.bit bits name
ECMM 0x02C.0   8 OKEY
ECMM 0x05D.0  16 ERIB
ECMM 0x061.0   8 SMST
ECMM 0x062.0   8 SMAD
ECMM 0x063.0   8 SMCM
ECMM 0x064.0 256 SMD0
ECMM 0x084.0   8 BCNT
ECMM 0x085.0  24 SMAA
ECMM 0x088.0   8 SMBN
ECMM 0x090.0  72 BMNN
ECMM 0x099.0   8 BN00
ECMM 0x09A.0   8 BN01
ECMM 0x09B.0   8 BN02
ECMM 0x09C.0   8 BN03
ECMM 0x09D.0   8 BN04
ECMM 0x09E.0   8 BN05
ECMM 0x09F.0   8 BN06
ECMM 0x0A0.0   1 AATL
ECMM 0x0A0.1   1 AACL
ECMM 0x0A0.2   1 AAST
ECMM 0x0A0.3   1 AARW
ECMM 0x0A0.4   1 AAEN
ECMM 0x0A0.6   2 WKRN
ECMM 0x0A1.1   1 VIDO
ECMM 0x0A1.2   1 TOUP
ECMM 0x0A1.3   1 WINK
ECMM 0x0A2.0   8 ODTS
ECMM 0x0A3.0   4 OSTY
ECMM 0x0A3.5   1 PBOV
ECMM 0x0A3.6   1 ECRD
ECMM 0x0A3.7   1 ADPT
ECMM 0x0A4.0   1 PWAK
ECMM 0x0A4.1   1 MWAK
ECMM 0x0A4.2   1 LWAK
ECMM 0x0A4.3   1 RWAK
ECMM 0x0A4.4   1 WWAK
ECMM 0x0A4.5   1 UWAK
ECMM 0x0A4.6   1 KWAK
ECMM 0x0A4.7   1 TWAK
ECMM 0x0A5.0   1 CCAC
ECMM 0x0A5.1   1 AOAC
ECMM 0x0A5.2   1 BLAC
ECMM 0x0A5.3   1 PSRC
ECMM 0x0A5.4   1 BOAC
ECMM 0x0A5.5   1 LCAC
ECMM 0x0A5.6   1 AAAC
ECMM 0x0A5.7   1 ACAC
ECMM 0x0A6.0   1 S3ST
ECMM 0x0A6.1   1 S3RM
ECMM 0x0A6.2   1 S4ST
ECMM 0x0A6.3   1 S4RM
ECMM 0x0A6.4   1 S5ST
ECMM 0x0A6.5   1 S5RM
ECMM 0x0A6.6   1 CSST
ECMM 0x0A6.7   1 CSRM
ECMM 0x0A7.0   8 CATT
ECMM 0x0A8.0   8 VATT
ECMM 0x0A9.0   8 THLT
ECMM 0x0AA.0   8 TCNL
ECMM 0x0AB.0   1 MODE
ECMM 0x0AB.3   1 INIT
ECMM 0x0AB.4   1 FAN1
ECMM 0x0AB.5   1 FAN2
ECMM 0x0AB.6   1 FANT
ECMM 0x0AB.7   1 SKNM
ECMM 0x0AC.0   8 SDTM
ECMM 0x0AD.0   4 FSSN
ECMM 0x0AD.4   4 FANU
ECMM 0x0AE.0   6 PCVL
ECMM 0x0AE.6   1 SWTO
ECMM 0x0AE.7   1 TTHR
ECMM 0x0AF.0   1 TTHM
ECMM 0x0AF.1   1 THTL
ECMM 0x0AF.2   1 TFCT
ECMM 0x0AF.3   5 NPST
ECMM 0x0B0.0   8 CTMP
ECMM 0x0B1.0   8 CTML
ECMM 0x0B2.0   8 EST3
ECMM 0x0B3.0   8 SKTB
ECMM 0x0B4.0   8 SKTC
ECMM 0x0B5.0   8 DPOT
ECMM 0x0B6.0   8 EST1
ECMM 0x0B7.0   8 EST2
ECMM 0x0B8.1   1 LIDF
ECMM 0x0B8.2   1 PMEE
ECMM 0x0B8.3   1 PWBE
ECMM 0x0B8.4   1 RNGE
ECMM 0x0B8.5   1 BTWE
ECMM 0x0B9.0   8 BRTS
ECMM 0x0BA.0   1 S35M
ECMM 0x0BA.1   1 S35S
ECMM 0x0BA.3   1 MSFG
ECMM 0x0BA.4   1 FFEN
ECMM 0x0BA.5   1 FFST
ECMM 0x0BB.0   1 WLAT
ECMM 0x0BB.1   1 BTAT
ECMM 0x0BB.2   1 WLEX
ECMM 0x0BB.3   1 BTEX
ECMM 0x0BB.4   1 KLSW
ECMM 0x0BB.5   1 WLOK
ECMM 0x0BB.6   1 AT3G
ECMM 0x0BB.7   1 EX3G
ECMM 0x0BC.0   8 PJID
ECMM 0x0BD.0   3 CPUJ
ECMM 0x0BD.3   3 CPNM
ECMM 0x0BD.6   2 GATY
ECMM 0x0C0.0   1 BTY0
ECMM 0x0C0.1   1 BAM0
ECMM 0x0C0.2   1 BAL0
ECMM 0x0C1.0   8 BST0
ECMM 0x0C2.0  16 BRC0
ECMM 0x0C4.0  16 BSN0
ECMM 0x0C6.0  16 BPV0
ECMM 0x0C8.0  16 BDV0
ECMM 0x0CA.0  16 BDC0
ECMM 0x0CC.0  16 BFC0
ECMM 0x0CE.0   8 GAU0
ECMM 0x0CF.0   8 BAT0
ECMM 0x0D0.0  16 BPC0
ECMM 0x0D2.0  16 BAC0
ECMM 0x0D4.0  16 BCG0
ECMM 0x0D6.0  16 BFCB
ECMM 0x0D8.0  16 BTPB
ECMM 0x0DA.0   1 BOL0
ECMM 0x0DA.1   1 BFS0
ECMM 0x0DB.0   1 ORRF
ECMM 0x0DD.0   1 SBIS
ECMM 0x0DE.0  16 BSSB
PECM 0x000.0   8 REC1
PECM 0x001.0   8 REC2
PECM 0x002.0   8 WEC1
PECM 0x003.0   8 WEC2
PECM 0x004.0   8 WMIM
PECM 0x005.0   1 ACKM
PECM 0x006.0   2 STMS
PECM 0x006.2   2 MBMS
PECM 0x006.4   1 ACLS
PECM 0x006.5   1 MBSS
PECM 0x006.6   1 CSHE
PECM 0x006.7   1 ACSP
PECM 0x007.0   1 PSAC
PECM 0x007.1   1 PSBC
PECM 0x007.2   1 PSED
PECM 0x008.0   8 Z01R
PECM 0x009.0   8 Z01G
PECM 0x00A.0   8 Z01B
PECM 0x00B.0   8 Z02R
PECM 0x00C.0   8 Z02G
PECM 0x00D.0   8 Z02B
PECM 0x00E.0   8 SADP
PECM 0x00F.0   1 FANE
PECM 0x00F.1   1 CPUO
PECM 0x00F.2   1 M4GO
PECM 0x00F.3   1 FNSW
PECM 0x00F.4   1 SBTC
PECM 0x00F.7   1 OHP0
PECM 0x010.0   8 SAD2
PECM 0x011.0   8 FRPM
PECM 0x012.0   8 FNMX
PECM 0x013.0   8 FNMN
PECM 0x014.0   8 FWPM
PECM 0x015.0   8 RSTV
PECM 0x016.0   8 CPTV
PECM 0x017.0   8 GPTV
PECM 0x018.0   8 PHTV
PECM 0x019.0   8 FNTV
PECM 0x01A.0   8 BTTV
PECM 0x01B.0   8 Z04R
PECM 0x01C.3   1 SK6U
PECM 0x01C.6   1 FNHK
PECM 0x01D.0   1 FBST
PECM 0x01D.1   1 NGPS
PECM 0x01D.2   1 BCDG
PECM 0x01D.3   1 DGPS
PECM 0x01D.4   1 DGRS
PECM 0x01E.0   1 DGPE
PECM 0x01E.1   1 DGHR
PECM 0x01E.2   1 FBPC
PECM 0x01E.3   1 EC6I
PECM 0x01E.4   1 EC6O
PECM 0x01E.5   1 GC6E
PECM 0x01E.6   1 RG12
PECM 0x01F.0   1 KB4Z
PECM 0x01F.7   1 IRIQ
PECM 0x021.0   8 BTNO
PECM 0x022.0   8 Z04G
PECM 0x023.0   8 NVDX
PECM 0x024.0   8 Z04B
PECM 0x025.0   1 CFBE
PECM 0x025.1   1 EPCF
PECM 0x026.0   8 Z03R
PECM 0x027.0   8 Z03G
PECM 0x028.0   8 Z03B
PECM 0x029.0   2 OCCM
PECM 0x029.6   1 MAXF
PECM 0x029.7   1 OCCN
PECM 0x02A.0   2 PBSM
PECM 0x02A.2   2 SBSM
PECM 0x02A.6   1 BMNC
PECM 0x02A.7   1 BCLC
PECM 0x02D.0 128 BCTL
PECM 0x045.0  16 ATTE
PECM 0x047.0  16 RTTE
PECM 0x049.0   8 BC00
PECM 0x04A.0   8 BC01
PECM 0x04B.0   8 BC02
