== E4: set BALANCED via WMI, load, then at t=70 s write EC[0x29] := 0x81 directly (OCCM=1, OCCN=1) ==
WMI cmd=0x20008 type=0x1A in=[FF 00 00 00] -> rc=0x00 out=[00 00 00 00 00 00 00 00]
EC[0x29]=0x00  OCCM=0 MAXF=0 OCCN=0
t(s)   W      MHz  EC29
   5    75.4   4000  00
  10    48.9   3300  00
  15    44.8   3300  00
  20    44.8   3300  00
  25    44.9   3300  00
  30    44.9   3300  00
  35    44.9   3300  00
  40    44.9   3300  00
  45    44.9   3300  00
  50    44.9   3300  00
  55    44.9   3300  00
  60    45.0   3300  00
  65    44.9   3300  00
   -> direct EC write 0x29:=0x81 ok=True ; EC[0x29]=0x81  OCCM=1 MAXF=0 OCCN=1
  70    44.9   3300  81
  75    44.9   3300  81
  80    44.9   3300  81
  85    45.0   3200  81
  91    44.9   3200  81
  96    45.0   3200  81
 101    44.9   3300  81
 106    44.9   3300  81
 111    44.9   3300  81
 116    44.9   3300  81
 121    44.9   3200  81
 126    45.0   3300  81
 131    44.9   3200  81
 136    44.9   3300  81
 141    44.9   3200  81
 146    44.9   3300  81
 151    44.9   3200  81
 156    45.0   3300  81
 161    44.9   3300  81
 166    44.9   3300  81
 171    44.9   3300  81
 176    44.9   3300  81
 181    44.9   3300  81
== restore: performance via WMI ==
WMI cmd=0x20008 type=0x1A in=[FF 01 00 00] -> rc=0x00 out=[00 00 00 00 00 00 00 00]
EC[0x29]=0x81  OCCM=1 MAXF=0 OCCN=1
