# label=perf2 threads=12 secs=150  EC[0x29]=0x81 idle  (OCCM=1 MAXF=0 OCCN=1)
t(s)   W      MHz   T(C)  PL1/PL2  limit        EC29 EC-changes
   3    73.6   4000    70   90/90                81   A7:31>42 B0:32>48 B1:32>48 B2:27>28 B3:31>42 B4:23>26 B6:25>26 C6:1F>21 E3:88>87 E5:88>87 F1:0A>00 F2:05>13
  21    77.3   4000    72   90/90                81   11:00>13 A7:42>49 B0:48>4A B1:48>4A B2:28>2A B3:42>49 B4:26>28 B6:26>29 B7:20>1F C6:21>1F E3:87>88 F1:00>4A F2:13>00
  38    76.9   4000    73   90/90                81   11:13>23 B0:4A>49 B1:4A>49 B2:2A>2D B6:29>2D B7:1F>20 C6:1F>22 F1:4A>00 F2:00>14
  59    76.6   4000    73   90/90                81   A7:49>4A B0:49>4B B1:49>4B B2:2D>2F B3:49>4A B4:28>29 B6:2D>2F C6:22>20 DB:50>40 E3:88>86 F1:00>09 F2:14>0F
  77    77.3   4000    73   90/90                81   11:23>28 B2:2F>31 B7:20>21 C6:20>1F DB:40>50 E3:86>88 F1:09>00 F2:0F>08
  96    77.5   4000    76   90/90                81   A7:4A>4C B0:4B>50 B1:4B>50 B2:31>32 B3:4A>4C B6:2F>30 F1:00>29 F2:08>00
 117    78.3   4000    74   90/90                01   29:81>01 B0:50>4B B1:50>4B B6:30>31 B7:21>22 C6:1F>20 E3:88>86 F1:29>06 F2:00>08
 134    76.3   4000    74   90/90                01   B2:32>33 B4:29>2A C6:20>1F E3:86>88 F2:08>14
 151    76.4   4000    74   90/90                81   29:01>81 A7:4C>4B B0:4B>3A B1:4B>3A B3:4C>4B B4:2A>29 E3:88>86 E5:87>88 F2:14>0A
# AVG watts 30-60s: 76.8   60s-end: 77.2   (n=5)
